"Blooket
Import Template",,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Correct Answer(s)
(Only include Answer #)",Images
1,"If it ______ (rain) tomorrow, we ______ (stay) home.",rains / will stay,rain / stay,rained / would stay,will rain / stay,2,
2,"If I ______ (be) rich last year, I ______ (travel) the world.",am / will travel,were / would travel,was / travel,will be / travel,3,
3,"If you ______ (heat) ice every day, it ______ (melt).",heat / melts,heated / melted,will heat / melts,heat / will melt,4,
4,"If she ______ (study) hard next week, she ______ (pass) the exam.",studies / will pass,studied / would pass,will study / passes,study / passes,1,
5,"If I ______ (have) time yesterday, I ______ (help) you.",have / will help,had / would help,has / help,will have / help,2,
6,"If you ______ (not water) plants every day, they ______ (die).",don’t water / die,didn’t water / died,won’t water / die,don’t water / will die,3,
7,"If he ______ (call) me tomorrow, I ______ (answer).",calls / will answer,called / would answer,will call / answers,call / answers,4,
8,"If I ______ (be) you last week, I ______ (apologize).",am / will apologize,were / would apologize,was / apologize,will be / apologize,1,
9,"If they ______ (not hurry) yesterday, they ______ (miss) the bus.",don’t hurry / miss,didn’t hurry / missed,won’t hurry / miss,don’t hurry / will miss,2,
10,"If we ______ (go) to the beach tomorrow, we ______ (swim) in the sea.",go / will swim,went / would swim,will go / swim,go / swim,3,
11,"What is the Verb 2 form of ""deal with""?",dealt with,dealed with,dealing with,deals with,1,
12,"What is the Verb 3 form of ""cheer up""?",cheered up,cheer up,cheering up,cheers up,2,
13,"What is the Verb 2 form of ""take care of""?",took care of,taken care of,taking care of,takes care of,3,
14,"What is the Verb 3 form of ""give up""?",gave up,given up,giving up,gives up,4,
15,"What is the Verb 2 form of ""hang out""?",hung out,hanged out,hanging out,hangs out,1,
16,"What is the Verb 3 form of ""depend on""?",depended on,depending on,depends on,depend on,2,
17,"What is the Verb 2 form of ""get on with""?",got on with,gotten on with,getting on with,gets on with,3,
18,"What is the Verb 3 form of ""describe""?",described,describing,describes,describe,4,
19,Which sentence is in the Present Simple Tense?,She is reading a book.,She reads a book.,She read a book.,She will read a book.,2,
20,Which sentence is in the Present Continuous Tense?,She reads a book.,She is reading a book.,She read a book.,She will read a book.,3,
21,Which sentence is in the Past Simple Tense?,She reads a book.,She is reading a book.,She read a book.,She will read a book.,4,
22,Which sentence is in the Past Continuous Tense?,She was reading a book.,She reads a book.,She read a book.,She will read a book.,1,
23,"Type 1: If it ______ (rain) tomorrow, we ______ (stay) home.",rains / will stay,rain / stay,rained / would stay,will rain / stay,2,
24,"Type 2: If I ______ (be) rich last year, I ______ (travel) the world.",am / will travel,were / would travel,was / travel,will be / travel,3,
25,"Type 0: If you ______ (heat) ice every day, it ______ (melt).",heat / melts,heated / melted,will heat / melts,heat / will melt,4,
26,"If he ______ (not forget) his keys last night, he ______ (not lock) himself out.",doesn’t forget / won’t lock,didn’t forget / wouldn’t lock,won’t forget / doesn’t lock,don’t forget / won’t lock,2,
27,"If she ______ (practice) every day, she ______ (become) a great pianist.",practices / will become,practiced / would become,will practice / becomes,practice / becomes,3,
28,"If I ______ (know) the answer yesterday, I ______ (tell) you.",know / will tell,knew / would tell,will know / tell,know / tell,4,
29,"If they ______ (not leave) early tomorrow, they ______ (be) late.",don’t leave / will be,didn’t leave / would be,won’t leave / are,don’t leave / are,1,
30,"If he ______ (not eat) breakfast every morning, he ______ (feel) tired.",doesn’t eat / feels,didn’t eat / felt,won’t eat / feels,don’t eat / will feel,2,
31,"If we ______ (not hurry) yesterday, we ______ (miss) the train.",don’t hurry / miss,didn’t hurry / missed,won’t hurry / miss,don’t hurry / will miss,3,
32,"If she ______ (not study) last night, she ______ (fail) the test.",doesn’t study / fails,didn’t study / failed,won’t study / fails,don’t study / will fail,4,
33,"If they ______ (not call) tomorrow, we ______ (not know) the plan.",don’t call / won’t know,didn’t call / wouldn’t know,won’t call / don’t know,don’t call / won’t know,1,
